1.96,1.96,host1,1,1329851830,8096M,,838,98,110033,7,48154,4,3609,79,134153,4,228.2,1,256,,,,,30301,79,+++++,+++,2525,2,31290,79,+++++,+++,1558,1,9829us,226ms,1759ms,112ms,160ms,2016ms,300ms,458us,6094ms,309ms,17us,6206ms
1.96,1.96,host2,1,1329851305,8096M,,846,97,109696,7,46532,3,3516,77,131159,4,237.8,1,256,,,,,29369,76,+++++,+++,2434,2,30553,79,+++++,+++,1514,1,16549us,264ms,1713ms,173ms,335ms,2025ms,316ms,323us,6103ms,298ms,1271us,7009ms
1.96,1.96,host3,1,1329840761,16G,,1028,0,94051,0,40554,0,1668,0,121874,0,380.3,0,256,,,,,50115,0,332943,0,2338,0,51591,0,+++++,+++,1189,0,16101us,7694ms,7790ms,13804us,124ms,76495us,312ms,1088us,10380ms,420ms,15us,15792ms
1.96,1.96,host4,1,1329842064,16G,,1049,0,86703,0,33424,0,1946,0,112701,0,275.4,0,256,,,,,47178,0,332648,0,2006,0,49756,0,+++++,+++,1122,0,15003us,7870ms,6229ms,12126us,332ms,223ms,375ms,1459us,10327ms,290ms,97us,14080ms
1.96,1.96,host5,1,1329668279,8096M,,1098,98,75834,6,41582,5,6098,97,112804,7,1986,26,256,,,,,55300,62,+++++,+++,15620,13,57603,65,+++++,+++,10506,9,11373us,8134ms,1044ms,11697us,1466ms,400ms,351ms,439us,775ms,306ms,50us,780ms
1.96,1.96,host6,1,1329670697,8096M,,1120,98,99612,8,41731,5,+++++,+++,110458,7,1955,26,256,,,,,53752,63,+++++,+++,15861,13,58378,65,+++++,+++,10670,10,13287us,779ms,713ms,3891us,1268ms,400ms,350ms,478us,698ms,310ms,637us,638ms
1.03,1.03,host7,1,1234567890,8096M,,38449,67,36403,9,19240,5,47427,74,47958,7,330.6,0,256,216,99,+++++,+++,66339,55,222,99,+++++,+++,304,35
